Detail,prix,address,image_lien,nombre_chambre,superficie(m²)
Joli studio aux mamelle,207000,"Mamelles,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,1,120
Appartement à louer à Yoff,1300000,"Yoff,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,300
Appartement à louer centre ville,1300000,"Plateau,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,200
Appartement à louer almadies,1500000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,204
Appartement vide 3 chambres salon à louer mermoz,900000,"Mermoz,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,150
Standing duplex a louer a ngor,800000,"Ngor,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,5,150
appartement standing vue sur mer aux almadie,1500000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,250
Standing appartement aux almadie,1000000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,150
Villa r+1 a vendre à zone B,140000000,"Avenue Bourguiba,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,5,175
Appartement f6 de plus de 300 m2 à louer à Yoff,1300000,"Yoff,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,5,300
Appartement à louer,2000000,"Plateau,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,12
STUDIO AUX ALMADIES,300000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,1,150
appartement f4 neuf au point e,1700000,"Point-e,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,200
Superbes appartements F4 neuf a louer,750000,"Cité keur gorgui,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,145
Appartements KALIA - Zone de captage,450000,"Zone de captage,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,100
Trois chambres salon à louer par mois,1600000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,210
Duplex de 5 pièces à louer aux almadies,1300000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,190
